storeid,lat,lon,country,display_name,road,house_number,city,state,suburb,postcode,category,type,osm_type,osm_id
360431,-35.4167274,-71.6381593,,"Calle 16 Oriente, Villa El Parque, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 16 Oriente,,Talca,Región del Maule,,3461761,highway,residential,way,58999910.0
365881,-35.4410574,-71.6773585,,"4½ Poniente C, Villa Perú, La Florida, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",4½ Poniente C,,Talca,Región del Maule,La Florida,3460000,highway,living_street,way,102187907.0
370430,-35.4165449,-71.6356866,,"Pasaje 16½ Oriente A, Villa El Parque, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Pasaje 16½ Oriente A,,Talca,Región del Maule,,3461761,highway,living_street,way,213579407.0
64325,-35.42359924,-71.65480042,,"Supermercado Tottus, Calle 8 Oriente, Población Juan Antonio Ríos, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 8 Oriente,,Talca,Región del Maule,,3461761,shop,supermarket,way,282396148.0
156526,-35.4277187,-71.6579245,,"Centro Comercial Salomón Sabag, Galería Salomón Sabag, Población Juan Antonio Ríos, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Galería Salomón Sabag,,Talca,Región del Maule,,3461761,building,commercial,way,275506462.0
161839,-35.42630005,-71.66290283,,"Doña cristina, Calle 1 Norte, Población Juan Antonio Ríos, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",Calle 1 Norte,,Talca,Región del Maule,,3460000,building,yes,way,939148470.0
178991,-35.42770004,-71.62519836,,"Calle 5 Norte, Villa Don Alfonso, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 5 Norte,,Talca,Región del Maule,,3461761,highway,tertiary,way,28606188.0
185427,-35.45050049,-71.67479706,,"26 Sur, Villa Pucara, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",26 Sur,,Talca,Región del Maule,,3460000,highway,tertiary,way,224752432.0
191837,-35.4278191,-71.6409656,,"Petrobras, Calle 1 Norte, Población Pedro Aguirre Cerda, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 1 Norte,,Talca,Región del Maule,,3461761,amenity,fuel,node,1239318055.0
192858,-35.42770004,-71.65709686,,"Farmacias Ahumada, Calle 1 Sur, Villa Olavarría, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 1 Sur,,Talca,Región del Maule,,3461761,amenity,pharmacy,node,1239318070.0
193108,-35.42950058,-71.67089844,,"Jumbo, Carlos Schorr, Villa Edén, La Florida, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",Carlos Schorr,,Talca,Región del Maule,La Florida,3460000,shop,supermarket,way,115204739.0
195269,-35.443648,-71.663578,,"Calle 15 Oriente, Población Cerámica, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",Calle 15 Oriente,,Talca,Región del Maule,,3460000,highway,secondary,way,195201804.0
254682,-35.42630005,-71.66290283,,"Doña cristina, Calle 1 Norte, Población Juan Antonio Ríos, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",Calle 1 Norte,,Talca,Región del Maule,,3460000,building,yes,way,939148470.0
261190,-35.42819977,-71.65840149,,"Galería Bavaria, 6 oriente, Villa San Luis, Barrio Norte, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",6 oriente,,Talca,Región del Maule,Barrio Norte,3461761,building,commercial,way,364439675.0
263461,-35.43130112,-71.62180328,,"Tu Espacio VIVO, Calle 4 Norte, Villa Don Matías, San Miguel, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 4 Norte,,Talca,Región del Maule,San Miguel,3461761,shop,mall,way,587792320.0
263675,-35.4297959,-71.6196034,,"Calle 5 Norte, Las Rastras, Esmeralda, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 5 Norte,,Talca,Región del Maule,Esmeralda,3461761,highway,tertiary,way,1072476988.0
282825,-35.41049957,-71.64559937,,"Almacen, Calle 17 Norte, Don Arturo, Barrio Norte, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 17 Norte,,Talca,Región del Maule,Barrio Norte,3461761,shop,convenience,node,847527919.0
286472,-35.43199921,-71.67749786,,"Botilleria Sederap, 10 Sur, Villa Edén, La Florida, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",10 Sur,,Talca,Región del Maule,La Florida,3460000,shop,alcohol,node,3156437879.0
291841,-35.44540024,-71.61699677,,"Calle 6½ Sur, Hacienda Las Rastras, San Miguel, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 6½ Sur,,Talca,Región del Maule,San Miguel,3461761,highway,residential,way,443275056.0
310057,-35.4432222,-71.6864167,,"Chile, 266, 26 Sur, Villa Santa María de Colín, La Florida, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",26 Sur,266,Talca,Región del Maule,La Florida,3460000,amenity,bank,node,3225845817.0
322616,-35.424541,-71.658126,,"Copec, 6 oriente, Villa San Luis, Barrio Norte, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",6 oriente,,Talca,Región del Maule,Barrio Norte,3461761,amenity,fuel,node,5675407791.0
323157,-35.42050794,-71.66068679,,"Calle 4 Oriente, Villa San Luis, Barrio Norte, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",Calle 4 Oriente,,Talca,Región del Maule,Barrio Norte,3460000,highway,residential,way,243827285.0
377105,-35.43949,-71.68267,,"Avenida Ignacio Carrera Pinto, Villa Los Tilos, La Florida, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",Avenida Ignacio Carrera Pinto,,Talca,Región del Maule,La Florida,3460000,highway,primary,way,566828947.0
89955,-35.42890167,-71.6434021,,"Calle 1 Sur, Población Pedro Aguirre Cerda, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 1 Sur,,Talca,Región del Maule,,3461761,highway,secondary,way,565603192.0
105409,-35.43510056,-71.67030334,,"Botillería España, Piduco, Población Diego Portales, La Florida, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",Piduco,,Talca,Región del Maule,La Florida,3460000,craft,winery,node,3165873878.0
142252,-35.4029007,-71.64129639,,"8 Oriente A, Don Enrique, Lircay, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",8 Oriente A,,Talca,Región del Maule,Lircay,3461761,highway,living_street,way,110458920.0
151059,-35.42581,-71.65659,,"1284, Calle 7 Oriente, Población Juan Antonio Ríos, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 7 Oriente,1284,Talca,Región del Maule,,3461761,building,house,way,637043712.0
168526,-35.40631738,-71.64344415,,"Copec, Avenida Lircay, Don Enrique, Lircay, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Avenida Lircay,,Talca,Región del Maule,Lircay,3461761,amenity,fuel,node,6800720082.0
184275,-35.42875,-71.6477,,"Doña Carne, Calle 1 Sur, Villa Monte Baeza, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 1 Sur,,Talca,Región del Maule,,3461761,shop,butcher,way,310249857.0
189312,-35.44760132,-71.69139862,,"29 Sur, Jardín del Valle, La Florida, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",29 Sur,,Talca,Región del Maule,La Florida,3460000,highway,tertiary,way,34119127.0
222487,-35.40800095,-71.625,,"Revisión Técnica, Avenida 22 Oriente, Lircay, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Avenida 22 Oriente,,Talca,Región del Maule,Lircay,3461761,amenity,vehicle_inspection,way,1025684700.0
270060,-35.43510056,-71.67030334,,"Botillería España, Piduco, Población Diego Portales, La Florida, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",Piduco,,Talca,Región del Maule,La Florida,3460000,craft,winery,node,3165873878.0
277737,-35.42979813,-71.61799622,,"7ma Compañía de Bomberos, Calle 5 Norte, Las Rastras, Esmeralda, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 5 Norte,,Talca,Región del Maule,Esmeralda,3461761,amenity,fire_station,way,311674296.0
295360,-35.4526623,-71.6799248,,"34½ Sur B, Villa Doña Antonia 4, Maule Norte, Maule, Provincia de Talca, Región del Maule, 3460000, Chile",34½ Sur B,,,Región del Maule,,3460000,highway,living_street,way,110561069.0
305539,-35.41989899,-71.6115036,,"Calle 35½ Oriente, Valles del Country, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 35½ Oriente,,Talca,Región del Maule,,3461761,highway,residential,way,311049467.0
338855,-35.42630005,-71.66280365,,"Doña cristina, Calle 1 Norte, Población Juan Antonio Ríos, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",Calle 1 Norte,,Talca,Región del Maule,,3460000,building,yes,way,939148470.0
344526,-35.4171328,-71.6591046,,"Calle 8 Norte, Barrio Las Heras, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",Calle 8 Norte,,Talca,Región del Maule,,3460000,highway,residential,way,563100918.0
352598,-35.43891,-71.68298,,"19 Sur, Villa Galilea D, La Florida, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",19 Sur,,Talca,Región del Maule,La Florida,3460000,highway,tertiary,way,35185575.0
366989,-35.44212195,-71.65242725,,"Pasaje 12 Sur C, Población Cristi Gallo, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Pasaje 12 Sur C,,Talca,Región del Maule,,3461761,highway,residential,way,102212595.0
116553,-34.97869873,-71.25330353,,"Pasaje Apóstol Tadeo, Población Bombero Garrido, Curicó, Provincia de Curicó, Región del Maule, 3341353, Chile",Pasaje Apóstol Tadeo,,Curicó,Región del Maule,,3341353,highway,living_street,way,98641872.0
156377,-34.9762328,-71.24496235,,"Copec, Avenida Freire, Villa Cataluña, Curicó, Provincia de Curicó, Región del Maule, 3340814, Chile",Avenida Freire,,Curicó,Región del Maule,,3340814,amenity,fuel,way,423237253.0
156532,-34.9833074,-71.2416248,,"Farmacias Cruz Verde, Peña, Consistorial, Curicó, Provincia de Curicó, Región del Maule, 3342121, Chile",Peña,,Curicó,Región del Maule,,3342121,amenity,pharmacy,node,1469588039.0
193126,-34.98339844,-71.24160004,,"Farmacias Cruz Verde, Peña, Consistorial, Curicó, Provincia de Curicó, Región del Maule, 3342121, Chile",Peña,,Curicó,Región del Maule,,3342121,amenity,pharmacy,node,1469588039.0
193140,-34.9856987,-71.22669983,,"Farmacias Ahumada, Jesús Pons, Villa San Francisco, Curicó, Provincia de Curicó, Región del Maule, 3340000, Chile",Jesús Pons,,Curicó,Región del Maule,,3340000,amenity,pharmacy,node,1778833964.0
194910,-34.98690033,-71.23870087,,"310, Argomedo, Consistorial, Curicó, Provincia de Curicó, Región del Maule, 3342121, Chile",Argomedo,310,Curicó,Región del Maule,,3342121,place,house,way,135506402.0
239006,-34.584524,-70.9893182,,"Parroquia San Fernando Rey, 582, Cardenal Caro, Condominio Las Camelias, El Trapiche, San Fernando, Provincia de Colchagua, Región del Libertador General Bernardo O'Higgins, 3071524, Chile",Cardenal Caro,582,San Fernando,Región del Libertador General Bernardo O'Higgins,El Trapiche,3071524,amenity,place_of_worship,way,290408514.0
240472,-34.57559967,-70.9957962,,"Avelino Barros, Villa Conavicoop, San Fernando, Provincia de Colchagua, Región del Libertador General Bernardo O'Higgins, 3071379, Chile",Avelino Barros,,San Fernando,Región del Libertador General Bernardo O'Higgins,,3071379,highway,residential,way,562664396.0
241828,-34.57830048,-70.99569702,,"Doctor Sepúlveda, Villa Imperial, San Fernando, Provincia de Colchagua, Región del Libertador General Bernardo O'Higgins, 3071379, Chile",Doctor Sepúlveda,,San Fernando,Región del Libertador General Bernardo O'Higgins,,3071379,highway,residential,way,104029854.0
265542,-34.9864006,-71.24130249,,"496, Estado, Consistorial, Curicó, Provincia de Curicó, Región del Maule, 3342121, Chile",Estado,496,Curicó,Región del Maule,,3342121,place,house,way,150537896.0
302186,-34.98770142,-71.24389648,,"Jardín Infantil Rayen, 444, Avenida Bernardo O'Higgins, Nilahue, Curicó, Provincia de Curicó, Región del Maule, 3342121, Chile",Avenida Bernardo O'Higgins,444,Curicó,Región del Maule,,3342121,amenity,kindergarten,way,354239081.0
315578,-34.95999908,-71.21520233,,"Avenida Proyectada, Don Sebastián de Rauquén, Curicó, Provincia de Curicó, Región del Maule, 3400001, Chile",Avenida Proyectada,,Curicó,Región del Maule,,3400001,highway,residential,way,491989963.0
320473,-34.9797671,-71.2648674,,"Calle Bombero Garrido, Araucanía, Curicó, Provincia de Curicó, Región del Maule, 3341353, Chile",Calle Bombero Garrido,,Curicó,Región del Maule,,3341353,highway,residential,way,98641856.0
323615,-35.84289932,-71.60150146,,"The Church of Jesus Christ of Latter-day Saints, Max Jara, Villa Sara Lamothe, Linares, Provincia de Linares, Región del Maule, 3581004, Chile",Max Jara,,Linares,Región del Maule,,3581004,amenity,place_of_worship,way,590243584.0
329578,-34.58470154,-70.98529816,,"866, Chillán, Condominio Las Camelias, El Trapiche, San Fernando, Provincia de Colchagua, Región del Libertador General Bernardo O'Higgins, 3071118, Chile",Chillán,866,San Fernando,Región del Libertador General Bernardo O'Higgins,El Trapiche,3071118,place,house,node,6010611989.0
347108,-34.9769642,-71.24221,,"Comercial Tio Lelo, Avenida Freire, La Colmena, Curicó, Provincia de Curicó, Región del Maule, 3340814, Chile",Avenida Freire,,Curicó,Región del Maule,,3340814,shop,pet,node,5440303498.0
356635,-34.9708419,-71.2045129,,"Calle 2, Villa Los Huertos, Curicó, Provincia de Curicó, Región del Maule, 3400001, Chile",Calle 2,,Curicó,Región del Maule,,3400001,highway,residential,way,98404223.0
364963,-34.9839831,-71.215934,,"Camino Zapallar, La Labranza, Curicó, Provincia de Curicó, Región del Maule, 3400001, Chile",Camino Zapallar,,Curicó,Región del Maule,,3400001,highway,secondary,way,1023076069.0
365516,-34.979,-71.25757,,"Botillería el Vecino, 1041, Calle Presbítero Samuel Pérez, Población Bombero Garrido, Curicó, Provincia de Curicó, Región del Maule, 3341353, Chile",Calle Presbítero Samuel Pérez,1041,Curicó,Región del Maule,,3341353,shop,beverages,node,6800844285.0
369593,-34.976434,-71.239955,,"Tottus, 1220, Carmen, La Marqueza, Curicó, Provincia de Curicó, Región del Maule, 3340814, Chile",Carmen,1220,Curicó,Región del Maule,,3340814,shop,supermarket,way,667321866.0
114903,-34.97579956,-71.23609924,,"Manuel Correa, La Marqueza, Curicó, Provincia de Curicó, Región del Maule, 3340814, Chile",Manuel Correa,,Curicó,Región del Maule,,3340814,highway,tertiary,way,27314039.0
